
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,184 K
Registry                       176 Services                   0     33,544 K
smss.exe                       680 Services                   0        228 K
csrss.exe                      796 Services                   0      1,472 K
wininit.exe                   1000 Services                   0        504 K
services.exe                  1048 Services                   0      7,516 K
lsass.exe                     1056 Services                   0     17,012 K
svchost.exe                   1192 Services                   0     29,712 K
fontdrvhost.exe               1224 Services                   0        168 K
WUDFHost.exe                  1244 Services                   0      5,040 K
svchost.exe                   1312 Services                   0     19,100 K
svchost.exe                   1368 Services                   0      3,952 K
WUDFHost.exe                  1416 Services                   0      1,884 K
svchost.exe                   1692 Services                   0      2,552 K
svchost.exe                   1696 Services                   0      1,892 K
svchost.exe                   1712 Services                   0      6,784 K
svchost.exe                   1852 Services                   0      2,536 K
svchost.exe                   1860 Services                   0      4,964 K
svchost.exe                   1892 Services                   0      3,464 K
svchost.exe                   1972 Services                   0     10,540 K
IntelCpHDCPSvc.exe            1988 Services                   0      1,068 K
svchost.exe                   2000 Services                   0      3,220 K
svchost.exe                    652 Services                   0      4,704 K
svchost.exe                   1140 Services                   0      3,124 K
IntelCpHeciSvc.exe            2120 Services                   0        936 K
svchost.exe                   2156 Services                   0      6,848 K
svchost.exe                   2456 Services                   0      5,268 K
svchost.exe                   2508 Services                   0      1,276 K
svchost.exe                   2568 Services                   0     10,768 K
svchost.exe                   2672 Services                   0      1,392 K
svchost.exe                   2680 Services                   0      6,128 K
svchost.exe                   2688 Services                   0      1,684 K
svchost.exe                   2724 Services                   0      1,472 K
dasHost.exe                   2884 Services                   0        992 K
Memory Compression            2904 Services                   0    420,768 K
svchost.exe                   2964 Services                   0        856 K
svchost.exe                   3040 Services                   0      9,008 K
igfxCUIService.exe            3068 Services                   0      1,204 K
svchost.exe                   2848 Services                   0      1,756 K
svchost.exe                   2652 Services                   0      2,968 K
svchost.exe                   3192 Services                   0     13,836 K
svchost.exe                   3200 Services                   0      2,072 K
svchost.exe                   3272 Services                   0      9,132 K
svchost.exe                   3428 Services                   0      2,756 K
svchost.exe                   3436 Services                   0      3,916 K
svchost.exe                   3536 Services                   0      4,260 K
svchost.exe                   3640 Services                   0      3,060 K
svchost.exe                   3728 Services                   0      7,444 K
svchost.exe                   3736 Services                   0     23,176 K
svchost.exe                   3884 Services                   0      8,324 K
svchost.exe                   3892 Services                   0      2,852 K
svchost.exe                   3940 Services                   0      2,088 K
spoolsv.exe                   4052 Services                   0      3,024 K
svchost.exe                   4160 Services                   0      2,628 K
svchost.exe                   4240 Services                   0     25,316 K
svchost.exe                   4256 Services                   0      2,016 K
svchost.exe                   4268 Services                   0     29,892 K
svchost.exe                   4276 Services                   0     10,888 K
ELANFPService.exe             4360 Services                   0        544 K
svchost.exe                   4444 Services                   0      2,140 K
OneApp.IGCC.WinService.ex     4456 Services                   0      5,704 K
ICEsoundService64.exe         4512 Services                   0      3,608 K
iaStorAfsService.exe          4540 Services                   0      1,796 K
svchost.exe                   4548 Services                   0      3,080 K
IntelAudioService.exe         4592 Services                   0      3,908 K
mfemms.exe                    4620 Services                   0      3,752 K
esif_uf.exe                   4636 Services                   0      1,924 K
svchost.exe                   4664 Services                   0      1,256 K
ModuleCoreService.exe         4688 Services                   0     30,228 K
MpDefenderCoreService.exe     4712 Services                   0     11,216 K
FoxitPDFReaderUpdateServi     4784 Services                   0      1,908 K
RtkBtManServ.exe              4800 Services                   0      1,716 K
PEFService.exe                4808 Services                   0     12,080 K
OfficeClickToRun.exe          4836 Services                   0     14,112 K
RstMwService.exe              4852 Services                   0      1,184 K
sqlwriter.exe                 4864 Services                   0      1,096 K
svchost.exe                   4892 Services                   0     14,092 K
LMS.exe                       4900 Services                   0      1,632 K
UltraViewer_Service.exe       4908 Services                   0      3,308 K
RtkAudUService64.exe          4944 Services                   0      2,096 K
MsMpEng.exe                   4952 Services                   0    212,872 K
svchost.exe                   4980 Services                   0      1,924 K
svchost.exe                   4992 Services                   0      9,496 K
svchost.exe                   5056 Services                   0     18,272 K
