
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        164 K
Registry                       224 Services                   0     61,700 K
smss.exe                       652 Services                   0        928 K
csrss.exe                      884 Services                   0      3,076 K
wininit.exe                   1120 Services                   0      2,408 K
services.exe                  1204 Services                   0      7,016 K
lsass.exe                     1280 Services                   0     25,240 K
svchost.exe                   1432 Services                   0     30,528 K
fontdrvhost.exe               1464 Services                   0      1,104 K
svchost.exe                   1564 Services                   0     16,080 K
svchost.exe                   1616 Services                   0      5,344 K
svchost.exe                   1748 Services                   0      4,804 K
svchost.exe                   1756 Services                   0     10,220 K
svchost.exe                   1764 Services                   0      5,776 K
svchost.exe                   1776 Services                   0      7,972 K
svchost.exe                   1920 Services                   0      6,060 K
svchost.exe                   1928 Services                   0      5,388 K
svchost.exe                   1936 Services                   0      6,536 K
svchost.exe                   2032 Services                   0      4,780 K
svchost.exe                    892 Services                   0      5,036 K
svchost.exe                   1352 Services                   0      2,208 K
svchost.exe                    996 Services                   0     14,452 K
svchost.exe                   2068 Services                   0      6,032 K
svchost.exe                   2284 Services                   0     11,300 K
svchost.exe                   2308 Services                   0      4,596 K
atiesrxx.exe                  2448 Services                   0      1,972 K
amdfendrsr.exe                2444 Services                   0      2,148 K
svchost.exe                   2460 Services                   0     17,728 K
svchost.exe                   2496 Services                   0     20,416 K
svchost.exe                   2536 Services                   0      6,816 K
svchost.exe                   3012 Services                   0     18,848 K
svchost.exe                   3036 Services                   0      3,632 K
svchost.exe                   3052 Services                   0      3,192 K
svchost.exe                   2104 Services                   0     10,208 K
svchost.exe                   3464 Services                   0      1,876 K
svchost.exe                   3480 Services                   0      5,368 K
svchost.exe                   3472 Services                   0     18,008 K
Memory Compression            3596 Services                   0    417,024 K
svchost.exe                   3632 Services                   0      5,796 K
svchost.exe                   3672 Services                   0      5,956 K
svchost.exe                   3676 Services                   0      5,804 K
svchost.exe                   3776 Services                   0     11,920 K
svchost.exe                   3812 Services                   0      3,260 K
svchost.exe                   3860 Services                   0      3,020 K
svchost.exe                   3928 Services                   0     14,024 K
svchost.exe                   3956 Services                   0     26,916 K
svchost.exe                   4044 Services                   0      8,492 K
spoolsv.exe                   4092 Services                   0      5,292 K
svchost.exe                   1344 Services                   0     20,180 K
svchost.exe                   4116 Services                   0      3,172 K
svchost.exe                   4368 Services                   0      6,676 K
RtkAudUService64.exe          4380 Services                   0      6,012 K
svchost.exe                   4388 Services                   0      3,744 K
OfficeClickToRun.exe          4396 Services                   0     19,984 K
MSIService.exe                4404 Services                   0      5,324 K
Mystic_Light_Service.exe      4412 Services                   0      7,044 K
svchost.exe                   4416 Services                   0     14,468 K
MSI_Central_Service.exe       4428 Services                   0      7,800 K
Sendevsvc.exe                 4452 Services                   0     20,040 K
MSIAPService.exe              4460 Services                   0      6,140 K
sqlwriter.exe                 4468 Services                   0      1,916 K
svchost.exe                   4476 Services                   0      1,732 K
svchost.exe                   4484 Services                   0     36,504 K
MpDefenderCoreService.exe     4496 Services                   0     13,728 K
svchost.exe                   4504 Services                   0      2,492 K
spacedeskService.exe          4512 Services                   0      2,332 K
svchost.exe                   4520 Services                   0     14,076 K
MsMpEng.exe                   4532 Services                   0    329,568 K
svchost.exe                   4544 Services                   0     28,392 K
svchost.exe                   4564 Services                   0     45,352 K
svchost.exe                   4764 Services                   0      4,384 K
wlanext.exe                   4968 Services                   0      1,744 K
WmiPrvSE.exe                  5936 Services                   0     23,552 K
AggregatorHost.exe            1320 Services                   0     10,172 K
WmiPrvSE.exe                  4228 Services                   0     11,760 K
svchost.exe                   7060 Services                   0     24,940 K
NisSrv.exe                    5596 Services                   0      5,408 K
svchost.exe                   4056 Services                   0      4,536 K
svchost.exe                   7316 Services                   0     23,580 K
svchost.exe                   7732 Services                   0     16,616 K
MSI.CentralServer.exe         8292 Services                   0    176,560 K
conhost.exe                   8312 Services                   0      1,732 K
svchost.exe                   8988 Services                   0      8,960 K
SearchIndexer.exe             9172 Services                   0     29,612 K
WmiPrvSE.exe                 10264 Services                   0      6,348 K
